product_name,description,reference
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'ip_input.c in BSD-derived TCP/IP implementations allows remote attackers to cause a denial of service (crash or hang) via crafted packets.'}]","[{'tags': ['x_refsource_CONFIRM'], 'url': 'http://www.openbsd.org/errata23.html#tcpfix'}, {'name': '5707', 'tags': ['vdb-entry', 'x_refsource_OSVDB'], 'url': 'http://www.osvdb.org/5707'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Buffer overflow in NFS mountd gives root access to remote attackers, mostly in Linux systems.'}]","[{'name': 'J-006', 'tags': ['third-party-advisory', 'government-resource', 'x_refsource_CIAC'], 'url': 'http://www.ciac.org/ciac/bulletins/j-006.shtml'}, {'name': '19981006-01-I', 'tags': ['vendor-advisory', 'x_refsource_SGI'], 'url': 'ftp://patches.sgi.com/support/free/security/advisories/19981006-01-I'}, {'name': '121', 'tags': ['vdb-entry', 'x_refsource_BID'], 'url': 'http://www.securityfocus.com/bid/121'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).'}]","[{'name': '122', 'tags': ['vdb-entry', 'x_refsource_BID'], 'url': 'http://www.securityfocus.com/bid/122'}, {'name': '19981101-01-A', 'tags': ['vendor-advisory', 'x_refsource_SGI'], 'url': 'ftp://patches.sgi.com/support/free/security/advisories/19981101-01-A'}, {'name': '19981101-01-PX', 'tags': ['vendor-advisory', 'x_refsource_SGI'], 'url': 'ftp://patches.sgi.com/support/free/security/advisories/19981101-01-PX'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'MIME buffer overflow in email clients, e.g. Solaris mailtool and Outlook.'}]","[{'name': 'MS98-008', 'tags': ['vendor-advisory', 'x_refsource_MS'], 'url': 'https://docs.microsoft.com/en-us/security-updates/securitybulletins/1998/ms98-008'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Arbitrary command execution via IMAP buffer overflow in authenticate command.'}]","[{'name': '130', 'tags': ['vdb-entry', 'x_refsource_BID'], 'url': 'http://www.securityfocus.com/bid/130'}, {'name': '00177', 'tags': ['vendor-advisory', 'x_refsource_SUN'], 'url': 'http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/177'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': ""Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.""}]","[{'name': '19980801-01-I', 'tags': ['vendor-advisory', 'x_refsource_SGI'], 'url': 'ftp://patches.sgi.com/support/free/security/advisories/19980801-01-I'}, {'name': '133', 'tags': ['vdb-entry', 'x_refsource_BID'], 'url': 'http://www.securityfocus.com/bid/133'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Information from SSL-encrypted sessions via PKCS #1.'}]","[{'name': 'MS98-002', 'tags': ['vendor-advisory', 'x_refsource_MS'], 'url': 'https://docs.microsoft.com/en-us/security-updates/securitybulletins/1998/ms98-002'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': ""Buffer overflow in NIS+, in Sun's rpc.nisd program.""}]","[{'name': '00170', 'tags': ['vendor-advisory', 'x_refsource_SUN'], 'url': 'http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/170'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.'}]","[{'name': '19980603-01-PX', 'tags': ['vendor-advisory', 'x_refsource_SGI'], 'url': 'ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX'}, {'name': '134', 'tags': ['vdb-entry', 'x_refsource_BID'], 'url': 'http://www.securityfocus.com/bid/134'}, {'name': 'HPSBUX9808-083', 'tags': ['vendor-advisory', 'x_refsource_HP'], 'url': 'http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083'}, {'name': '00180', 'tags': ['vendor-advisory', 'x_refsource_SUN'], 'url': 'http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/180'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Denial of Service vulnerability in BIND 8 Releases via maliciously formatted DNS messages.'}]","[{'name': '19980603-01-PX', 'tags': ['vendor-advisory', 'x_refsource_SGI'], 'url': 'ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX'}, {'name': 'HPSBUX9808-083', 'tags': ['vendor-advisory', 'x_refsource_HP'], 'url': 'http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.'}]","[{'name': '19980603-01-PX', 'tags': ['vendor-advisory', 'x_refsource_SGI'], 'url': 'ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX'}, {'name': 'HPSBUX9808-083', 'tags': ['vendor-advisory', 'x_refsource_HP'], 'url': 'http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083'}, {'name': '00180', 'tags': ['vendor-advisory', 'x_refsource_SUN'], 'url': 'http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/180'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.'}]","[{'tags': ['x_refsource_MISC'], 'url': 'https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0012'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.'}]","[{'tags': ['x_refsource_MISC'], 'url': 'https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0013'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Unauthorized privileged access or denial of service via dtappgather program in CDE.'}]","[{'name': 'HPSBUX9801-075', 'tags': ['vendor-advisory', 'x_refsource_HP'], 'url': 'http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9801-075'}, {'name': '00185', 'tags': ['vendor-advisory', 'x_refsource_SUN'], 'url': 'http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/185'}]"
"[{'product': 'n/a', 'vendor': 'n/a', 'versions': [{'status': 'affected', 'version': 'n/a'}]}]","[{'lang': 'en', 'value': 'Teardrop IP denial of service.'}]","[{'name': 'oval:org.mitre.oval:def:5579', 'tags': ['vdb-entry', 'signature', 'x_refsource_OVAL'], 'url': 'https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A5579'}]"
